key,key:fundraiser,ticker,name,description,startMoment,endMoment,moreInfo,draftMode
# Base
strategy-01,fundraiser-01,AA00-AAAAAA,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
# Ticker
strategy-02,fundraiser-01,CI54-D9PlkQcSF,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-03,fundraiser-01,IM62-R64ZndWNs,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-04,fundraiser-01,TR85-IEEpvJ6_no,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-05,fundraiser-01,QT84-SWWMn,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
# Name
strategy-06,fundraiser-01,AA01-AAAAAA,L,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-07,fundraiser-01,AA02-AAAAAA,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-08,fundraiser-01,AA03-AAAAAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-09,fundraiser-01,AA04-AAAAAA,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-10,fundraiser-01,AA05-AAAAAA,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-11,fundraiser-01,AA06-AAAAAA,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-12,fundraiser-01,AA07-AAAAAA,<marquee>Hacked</marquee>,Lorem ipsum dolor sit amet,2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-13,fundraiser-01,AA08-AAAAAA,<script>alert('Hacked!');</script>,Lorem ipsum dolor sit amet,2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-14,fundraiser-01,AA09-AAAAAA,' or 'A' = 'A,Lorem ipsum dolor sit amet,2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
# Description
strategy-15,fundraiser-01,AA10-AAAAAA,"Lorem ipsum dolor sit amet, consectetu",L,2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-16,fundraiser-01,AA11-AAAAAA,"Lorem ipsum dolor sit amet, consectetu",Lo,2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-17,fundraiser-01,AA12-AAAAAA,"Lorem ipsum dolor sit amet, consectetu",โลเร็ม อิปซัม,2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
strategy-18,fundraiser-01,AA13-AAAAAA,"Lorem ipsum dolor sit amet, consectetu",لوريم إيبسوم,2025/01/01 0:00,2200/12/31 23:59,http://lorem.com/ipsum,1
